region,year,Land_Type,area
USA,1992,Grassland,1995.001331
USA,1993,Grassland,1994.573084
USA,1994,Grassland,1994.126157
USA,1995,Grassland,1993.309286
USA,1996,Grassland,1991.113596
USA,1997,Grassland,1989.375219
USA,1998,Grassland,1990.646536
USA,1999,Grassland,1992.478927
USA,2000,Grassland,1991.470658
USA,2001,Grassland,1990.793655
USA,2002,Grassland,1990.441849
USA,2003,Grassland,1990.352588
USA,2004,Grassland,1990.568515
USA,2005,Grassland,1990.260445
USA,2006,Grassland,1990.241608
USA,2007,Grassland,1989.87075
USA,2008,Grassland,1989.3114
USA,2009,Grassland,1989.005517
USA,2010,Grassland,1990.135481
USA,2011,Grassland,1990.81809
USA,2012,Grassland,1990.674419
USA,2013,Grassland,1990.335308
USA,2014,Grassland,1989.717025
USA,2015,Grassland,1989.339448
USA,1992,Forest,3014.645
USA,1993,Forest,3014.491117
USA,1994,Forest,3014.310528
USA,1995,Forest,3012.206841
USA,1996,Forest,3015.429246
USA,1997,Forest,3017.535601
USA,1998,Forest,3016.632982
USA,1999,Forest,3023.11697
USA,2000,Forest,3032.543453
USA,2001,Forest,3038.046952
USA,2002,Forest,3039.010803
USA,2003,Forest,3041.599387
USA,2004,Forest,3046.754399
USA,2005,Forest,3046.878999
USA,2006,Forest,3046.569547
USA,2007,Forest,3045.058312
USA,2008,Forest,3042.878962
USA,2009,Forest,3042.889744
USA,2010,Forest,3038.33372
USA,2011,Forest,3034.511199
USA,2012,Forest,3032.076996
USA,2013,Forest,3029.620981
USA,2014,Forest,3028.7326
USA,2015,Forest,3028.226085
USA,1992,Shrubland,2076.515573
USA,1993,Shrubland,2076.097766
USA,1994,Shrubland,2075.73142
USA,1995,Shrubland,2075.525928
USA,1996,Shrubland,2071.892093
USA,1997,Shrubland,2069.178471
USA,1998,Shrubland,2067.599372
USA,1999,Shrubland,2059.242948
USA,2000,Shrubland,2055.06895
USA,2001,Shrubland,2053.065649
USA,2002,Shrubland,2053.120064
USA,2003,Shrubland,2052.172674
USA,2004,Shrubland,2050.441394
USA,2005,Shrubland,2049.548801
USA,2006,Shrubland,2049.840473
USA,2007,Shrubland,2050.252011
USA,2008,Shrubland,2050.846569
USA,2009,Shrubland,2051.056503
USA,2010,Shrubland,2052.351652
USA,2011,Shrubland,2054.104884
USA,2012,Shrubland,2055.058659
USA,2013,Shrubland,2055.825383
USA,2014,Shrubland,2055.649469
USA,2015,Shrubland,2055.517681
USA,1992,Cropland,1424.458103
USA,1993,Cropland,1423.609663
USA,1994,Cropland,1422.775287
USA,1995,Cropland,1426.078571
USA,1996,Cropland,1427.227488
USA,1997,Cropland,1428.866406
USA,1998,Cropland,1431.425975
USA,1999,Cropland,1435.645598
USA,2000,Cropland,1438.5749
USA,2001,Cropland,1439.167698
USA,2002,Cropland,1439.047787
USA,2003,Cropland,1438.888064
USA,2004,Cropland,1438.154528
USA,2005,Cropland,1437.257002
USA,2006,Cropland,1436.006326
USA,2007,Cropland,1435.626459
USA,2008,Cropland,1435.327821
USA,2009,Cropland,1434.305178
USA,2010,Cropland,1434.244793
USA,2011,Cropland,1433.800242
USA,2012,Cropland,1433.426971
USA,2013,Cropland,1432.348304
USA,2014,Cropland,1431.712165
USA,2015,Cropland,1431.375008